supplier_id,country,cost,delivery_time,reliability_score,defect_rate,delay_history,risk_label
SUP-0432,Germany,110.08,13.41,73.35,1.89,2,Low
SUP-0433,Brazil,71.05,3.22,85.64,1.96,3,Low
SUP-0434,China,85.12,19.63,95.59,6.47,3,Medium
SUP-0435,Thailand,134.9,15.37,99,1.13,5,Medium
SUP-0436,Germany,133.09,13.02,87.51,2.25,6,Medium
SUP-0437,Mexico,114.44,7.3,82.83,1.65,6,Low
SUP-0438,India,96.47,13.9,88.78,4.48,5,Medium
SUP-0439,Germany,121.17,10.13,74.91,4.3,7,Medium
SUP-0440,Japan,115.4,15.02,87.34,3.71,3,Medium
SUP-0441,Mexico,111.36,15.37,72.49,4.72,0,Medium
SUP-0442,Thailand,76.32,24.53,82.05,2.55,2,Medium
SUP-0443,Thailand,108.5,12.13,89.46,3.6,6,Medium
SUP-0444,Brazil,138.11,13.61,92.09,3.04,5,Medium
SUP-0445,Canada,111.16,17.89,76.5,3.55,3,Medium
SUP-0446,USA,60.43,15.9,97.74,4.68,4,Medium
SUP-0447,South Korea,32.38,15.93,82.65,5.14,3,Low
SUP-0448,Germany,113.76,10.32,86.61,1.95,5,Low
SUP-0449,USA,121.96,20.28,96.19,4.27,5,Medium
SUP-0450,Japan,66.03,4.95,77.66,3.65,2,Low
SUP-0451,Canada,75.26,12.38,80.97,4.43,5,Medium
SUP-0452,Brazil,88.67,16.34,69.7,2.45,4,Medium
SUP-0453,Germany,112.22,13.05,85.55,3.95,5,Medium
SUP-0454,Japan,98.21,21.02,83.76,3.58,3,Medium
SUP-0455,Mexico,127.67,17.31,65.34,2.05,0,High
SUP-0456,Thailand,86.74,6.56,74.88,3.65,5,Low
SUP-0457,Thailand,98.74,3,95.46,2.12,6,Low
SUP-0458,India,109.6,16.82,78.56,1.9,2,Medium
SUP-0459,Germany,92.34,16.75,72.07,1.54,10,Medium
SUP-0460,Japan,110.19,19.41,87.46,2.83,7,Medium
SUP-0461,China,73.43,22.92,93.56,1.23,6,Medium
SUP-0462,Canada,91.29,14.66,75.3,2.73,1,Low
SUP-0463,Canada,108.43,23.05,83.04,0.47,8,Medium
SUP-0464,Germany,53.77,21.2,90.3,0.85,7,Low
SUP-0465,Thailand,114.31,14.59,93.48,0.52,5,Low
SUP-0466,Japan,128.13,12.6,99,0.87,4,Low
SUP-0467,USA,96.76,19.78,60.02,4.27,1,Medium
SUP-0468,China,101.04,13.95,68.72,2.68,7,Medium
SUP-0469,Thailand,98.88,10.59,85.28,4.05,5,Medium
SUP-0470,USA,136.96,11.37,84.86,4.25,8,Medium
SUP-0471,Thailand,103.69,9.98,98.04,2.56,2,Low
SUP-0472,China,108.43,14.84,92.31,0.92,4,Low
SUP-0473,USA,50.91,13.47,89.36,1.79,2,Low
SUP-0474,Mexico,62.14,9.5,85.04,2.78,7,Low
SUP-0475,China,108.68,19.59,84.21,3.51,7,Medium
SUP-0476,India,52.29,10.63,69.5,0.2,0,Low
SUP-0477,South Korea,54.53,18.61,55.91,0.58,5,Low
SUP-0478,Brazil,69.83,10.33,75.32,4.32,4,Low
SUP-0479,Germany,128.08,5.39,85.9,3.62,6,Medium
SUP-0480,Germany,111.71,24.13,76.98,2.4,3,Medium
SUP-0481,China,40.03,19.0,74.81,4.44,3,High
SUP-0482,Thailand,98.39,7.91,77.27,2.03,5,Low
SUP-0483,South Korea,64.57,13.04,87.94,2.38,7,Low
SUP-0484,Canada,93.68,20.19,99,3.26,5,Medium
SUP-0485,Germany,90.98,15.59,77.45,3.31,5,Medium
SUP-0486,Mexico,56.11,17.66,91.75,1.57,6,Low
SUP-0487,USA,114.45,14.78,82.82,3.18,2,Medium
SUP-0488,USA,146.04,11.35,78.59,2.52,2,Medium
SUP-0489,South Korea,69.36,13.91,86.81,3.18,7,Low
SUP-0490,Brazil,84.47,8.51,99,4.37,4,Low
SUP-0491,India,95.01,11.0,99,1.49,6,Low
SUP-0492,Japan,97.56,13.33,70.72,3.7,7,Medium
SUP-0493,USA,64.63,19.05,85.86,0.92,4,Low
SUP-0494,USA,89.77,16.37,85.48,2.28,5,Medium
SUP-0495,Germany,107.6,21.31,94.43,3.09,7,Medium
SUP-0496,Germany,116.55,4.66,94.45,0.93,4,Low
SUP-0497,Mexico,53.89,14.1,87.3,0.21,7,Low
SUP-0498,Germany,90.25,19.68,86.87,3.92,10,Medium
SUP-0499,USA,107.91,14.17,94.05,4.25,0,Medium
SUP-0500,Mexico,97.71,13.62,79.44,2.96,6,Medium
SUP-0501,China,94.15,15.6,91.87,0.2,6,Low
SUP-0502,South Korea,72.3,13.84,79.54,3.02,4,Low
SUP-0503,Germany,64.82,23.34,91.59,2.67,4,Medium
SUP-0504,Mexico,66.2,3.61,98.95,2.8,7,Low
SUP-0505,South Korea,63.2,6.82,95.7,4.51,10,Low
SUP-0506,South Korea,120.82,18.87,77.92,1.54,3,Medium
SUP-0507,India,49.27,7.58,95.75,1.34,7,Low
SUP-0508,South Korea,73.33,12.32,85.32,2.87,4,Low
SUP-0509,Brazil,99.32,7.48,58.66,1.35,3,Low
SUP-0510,Thailand,71.12,20.08,92.29,3.01,7,Medium
SUP-0511,South Korea,128.38,21.52,94.73,1.7,10,Medium
SUP-0512,Canada,100.12,20.03,67.82,4.56,6,Medium
SUP-0513,China,115.24,15.1,77.69,1.81,5,Medium
SUP-0514,Canada,128.11,19.0,90.17,1.3,11,Medium
SUP-0515,USA,119.72,17.1,83.83,2.99,7,Medium
SUP-0516,China,117.08,18.96,75.81,2.07,2,Medium
SUP-0517,USA,118.51,5.19,75.59,5.23,1,Medium
SUP-0518,Canada,67.01,20.36,95.08,3.24,7,Medium
SUP-0519,China,67.26,12.57,99,4.98,0,Low
SUP-0520,South Korea,97.65,19.38,92.55,4.32,10,Medium
SUP-0521,Canada,103.81,11.1,75.17,5.15,8,Medium
SUP-0522,Mexico,107.24,14.76,73.16,0.96,0,Low
SUP-0523,Canada,143.96,14.22,73.94,2.48,0,Medium
SUP-0524,Germany,60.25,12.9,78.23,3.28,3,Low
SUP-0525,Thailand,121.31,10.02,63.12,5.77,8,Medium
SUP-0526,India,69.36,19.4,81.98,4.04,6,Medium
SUP-0527,Brazil,80.89,21.41,94.11,1.18,8,Medium
SUP-0528,Thailand,78.27,12.31,69.15,3.7,4,Medium
SUP-0529,Germany,48.83,13.81,81.82,3.67,3,Low
SUP-0530,South Korea,122.48,9.15,65.17,0.2,3,Low
SUP-0531,USA,88.28,13.84,93.11,4.77,6,Medium
SUP-0532,China,142.51,12.86,78.86,5.43,6,Medium
SUP-0533,Brazil,148.9,15.85,99,4.81,4,Medium
SUP-0534,Brazil,35.11,9.42,91.69,3.67,1,Low
SUP-0535,USA,121.59,11.79,99,1.9,3,Medium
SUP-0536,Japan,130.12,7.67,72.03,4.93,1,Medium
SUP-0537,India,96.21,7.71,70.22,1.43,7,Low
SUP-0538,Mexico,89.43,15.19,89.7,1.55,4,Low
SUP-0539,Brazil,93.41,16.95,84.6,2.87,0,Medium
SUP-0540,Thailand,109.83,25.02,91.29,1.35,2,Medium
SUP-0541,Thailand,83.9,13.4,80.79,1.23,7,Low
SUP-0542,Germany,85.29,8.64,90.25,3.89,5,Low
SUP-0543,India,82.8,17.64,97.21,2.36,1,Low
SUP-0544,USA,101.06,17.46,90.08,3.13,8,Medium
SUP-0545,Japan,138.94,12.07,74.41,6.01,7,Medium
SUP-0546,China,84.96,19.96,85.86,3.23,2,Medium
SUP-0547,Canada,156.72,16.91,88.24,4.69,6,Medium
SUP-0548,Brazil,89.19,7.13,81.09,3.52,8,Low
SUP-0549,South Korea,105.43,11.09,93.75,0.29,4,Low
SUP-0550,Mexico,62.98,13.94,78.22,1.7,5,Low
SUP-0551,USA,104.99,17.43,99,4.19,7,Medium
SUP-0552,South Korea,78.71,13.16,84.75,2.14,2,Low
SUP-0553,Thailand,140.79,17.2,99,3.82,3,Medium
SUP-0554,China,122.65,10.81,78.95,4.32,3,Medium
SUP-0555,USA,58.45,15.0,90.52,4.13,5,Low
SUP-0556,Germany,58.98,10.9,99,5.94,3,Low
SUP-0557,USA,58.96,11.9,84.72,3.11,2,Low
SUP-0558,China,73.75,16.04,99,2.84,3,Low
SUP-0559,Brazil,106.97,16.49,78.33,2.23,7,Medium
SUP-0560,USA,124.5,20.9,65.34,4.67,4,Medium
SUP-0561,China,84.23,10.65,88.28,4.87,7,Medium
SUP-0562,Japan,86.55,19.62,92.17,4.06,3,Medium
SUP-0563,Thailand,70.14,7.52,91.45,4.59,7,Low
SUP-0564,India,30,14.09,91.07,2.9,2,Low
SUP-0565,Germany,83.47,9.94,73.23,3.2,5,Low
SUP-0566,Thailand,60.76,17.53,88.0,4.46,0,Low
SUP-0567,Mexico,86.05,3.55,92.28,1.28,6,Low
SUP-0568,Japan,58.56,19.27,76.97,0.2,2,Low
SUP-0569,Germany,80.81,16.65,86.25,0.59,4,Low
SUP-0570,South Korea,127.43,13.52,85.1,3.27,11,Medium
SUP-0571,Germany,95.75,11.25,90.98,4.63,0,Low
SUP-0572,Canada,70.55,15.33,82.93,3.08,3,Low
SUP-0573,Japan,114.69,14.9,91.92,2.22,2,High
SUP-0574,India,101.26,24.48,99,2.2,3,Medium
SUP-0575,Thailand,77.17,13.15,78.57,1.82,2,Low
SUP-0576,South Korea,48.2,17.5,82.79,0.7,7,Low
SUP-0577,Canada,97.62,13.63,91.94,1.91,5,Low
SUP-0578,Germany,130.78,15.83,92.75,2.85,3,Medium
SUP-0579,India,88.61,8.37,77.18,3.14,7,Low
SUP-0580,Germany,143.19,11.35,81.36,2.71,4,Medium
SUP-0581,USA,129.04,23.78,73.86,2.84,8,Medium
SUP-0582,China,86.79,17.3,81.73,1.67,3,Low
SUP-0583,Japan,114.67,8.07,89.13,0.33,6,Low
SUP-0584,India,135.07,19.95,77.68,4.33,6,Medium
SUP-0585,USA,112.53,23.47,73.57,2.96,5,Medium
SUP-0586,Thailand,105.9,5.7,71.97,0.54,4,Low
SUP-0587,Germany,125.49,10.4,99,3.03,3,Low
SUP-0588,USA,66.28,12.29,73.98,4.59,3,Low
SUP-0589,India,53.18,9.64,85.12,0.69,6,Low
SUP-0590,Japan,104.27,15.77,81.76,1.47,3,Low
SUP-0591,USA,81.56,5.46,79.58,2.65,8,Low
SUP-0592,India,96.98,12.0,86.57,1.22,6,Low
SUP-0593,Brazil,69.62,16.2,81.58,5.24,5,Medium
SUP-0594,Canada,64.04,16.77,95.54,0.2,5,Low
SUP-0595,South Korea,89.74,4.21,75.04,0.9,1,Low
SUP-0596,Japan,110.31,5.23,83.08,3.65,1,Low
SUP-0597,USA,136.24,24.94,88.37,3.02,8,Medium
SUP-0598,Mexico,149.16,13.6,93.59,1.13,2,Low
SUP-0599,South Korea,67.54,10.02,80.78,1.03,9,Low
SUP-0600,Canada,76.41,23.73,85.31,4.64,3,Medium
